t_h,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11,xmv_12,operator_phase
4.005,0.248698,3669.458608,4478.338066,9.38262,26.822059,41.955432,2696.316817,72.001815,120.427015,0.326878,80.317332,51.638763,2625.575283,24.870896,49.619079,3093.188181,23.059816,65.940441,230.155101,341.228716,94.588144,77.282586,31.895675,8.882587,26.469809,6.903282,18.68529,1.716531,33.043902,14.391543,23.726461,1.280475,18.231368,2.358053,4.931923,2.338509,0.004887,0.797962,0.093691,54.007929,43.528051,63.05263,53.979707,24.643558,61.301921,22.21,39.191682,39.738763,46.119079,47.445735,41.105813,18.113491,50.0,Stable
4.019,0.25028,3645.593351,4476.353866,9.337793,26.934515,42.36041,2696.640701,71.889773,120.434526,0.330769,80.322586,49.606731,2625.489429,25.300748,51.788726,3092.601444,22.7323,65.944222,229.098685,341.268805,94.587384,77.299799,31.895675,8.882587,26.469809,6.903282,18.68529,1.716531,33.043902,14.391543,23.726461,1.280475,18.231368,2.358053,4.931923,2.338509,0.004887,0.797962,0.093691,54.007929,43.528051,63.05263,53.979707,24.643558,61.301921,22.21,39.22407,37.706731,48.288726,47.445735,41.105813,18.113491,50.0,Stable
4.033,0.250279,3650.011297,4534.031776,9.398094,26.602123,42.477509,2696.274803,71.36037,120.430206,0.330816,80.325232,49.84009,2625.342458,24.998305,49.71206,3093.240589,23.017914,65.93399,231.463427,341.587782,94.596557,77.295849,31.895675,8.882587,26.469809,6.903282,18.68529,1.716531,33.043902,14.391543,23.726461,1.280475,18.231368,2.358053,4.931923,2.338509,0.004887,0.797962,0.093691,54.007929,43.528051,63.05263,53.979707,24.643558,61.301921,22.21,39.18748,37.94009,46.21206,47.445735,41.105813,18.113491,50.0,Stable
4.046,0.25182,3699.912538,4470.224148,9.407897,26.782382,42.221956,2696.717004,71.607735,120.430697,0.327855,80.316915,48.843947,2625.080584,24.161774,50.462943,3092.913491,23.103786,65.935689,228.737264,341.286313,94.593964,77.287414,31.895675,8.882587,26.469809,6.903282,18.68529,1.716531,33.043902,14.391543,23.726461,1.280475,18.231368,2.358053,4.931923,2.338509,0.004887,0.797962,0.093691,54.007929,43.528051,63.05263,53.979707,24.643558,61.301921,22.21,39.2317,36.943947,46.962943,47.445735,41.105813,18.113491,50.0,Stable
4.06,0.250228,3667.671304,4503.205768,9.239023,26.75766,41.999493,2696.542165,71.988076,120.430188,0.329322,80.32478,51.336044,2625.304956,25.038701,49.971925,3092.541337,23.401128,65.920225,228.237308,341.407634,94.615192,77.293411,31.895675,8.882587,26.469809,6.903282,18.68529,1.716531,33.043902,14.391543,23.726461,1.280475,18.231368,2.358053,4.931923,2.338509,0.004887,0.797962,0.093691,54.007929,43.528051,63.05263,53.979707,24.643558,61.301921,22.21,39.214217,39.436044,46.471925,47.445735,41.105813,18.113491,50.0,Stable
4.074,0.248703,3652.463274,4538.099499,9.344026,27.161145,42.616641,2696.773442,71.13918,120.42194,0.327217,80.31717,49.373425,2625.371481,24.560927,50.822826,3093.017482,22.992928,65.949773,226.95432,341.274458,94.610102,77.281995,31.895675,8.882587,26.469809,6.903282,18.68529,1.716531,33.043902,14.391543,23.726461,1.280475,18.231368,2.358053,4.931923,2.338509,0.004887,0.797962,0.093691,54.007929,43.528051,63.05263,53.979707,24.643558,61.301921,22.21,39.237344,37.473425,47.322826,47.445735,41.105813,18.113491,50.0,Stable
4.088,0.249642,3671.56446,4534.134316,9.367679,26.953982,42.404644,2696.744244,72.070102,120.428758,0.330506,80.332567,47.846979,2625.688158,24.700626,49.888476,3093.543456,22.310264,65.931899,227.519116,341.654023,94.589392,77.305747,31.895675,8.882587,26.469809,6.903282,18.68529,1.716531,33.043902,14.391543,23.726461,1.280475,18.231368,2.358053,4.931923,2.338509,0.004887,0.797962,0.093691,54.007929,43.528051,63.05263,53.979707,24.643558,61.301921,22.21,39.234424,35.946979,46.388476,47.445735,41.105813,18.113491,50.0,Stable
4.102,0.250476,3679.302586,4516.369475,9.357946,26.799546,42.437454,2696.225141,71.658101,120.44199,0.32916,80.330138,49.401772,2625.249865,24.841311,50.019122,3092.81456,23.489821,65.951579,227.854656,341.017653,94.600529,77.288376,31.812566,9.206376,25.947787,6.558296,18.500306,1.724506,32.748988,14.348341,23.666593,1.166033,18.544938,2.388407,4.856764,2.302381,0.004887,0.797962,0.093691,54.007929,43.528051,63.05263,53.979707,24.643558,61.301921,22.21,39.182514,37.501772,46.519122,47.445735,41.105813,18.113491,50.0,Stable
4.116,0.250332,3680.378079,4509.239265,9.343594,26.584015,42.171461,2696.350424,71.663469,120.433465,0.329442,80.329019,49.209385,2625.734818,24.923893,50.080938,3092.796225,23.515885,65.927106,229.187145,341.381969,94.624025,77.291285,31.812566,9.206376,25.947787,6.558296,18.500306,1.724506,32.748988,14.348341,23.666593,1.166033,18.544938,2.388407,4.856764,2.302381,0.004887,0.797962,0.093691,54.007929,43.528051,63.05263,53.979707,24.643558,61.301921,22.21,39.195042,37.309385,46.580938,47.445735,41.105813,18.113491,50.0,Stable
4.129,0.24955,3640.580858,4551.55428,9.378902,26.977183,42.353431,2696.20029,72.417839,120.440616,0.329022,80.313275,50.695081,2625.566834,24.566354,49.339233,3093.001574,22.65128,65.937964,228.93556,341.207952,94.604669,77.323218,31.812566,9.206376,25.947787,6.558296,18.500306,1.724506,32.748988,14.348341,23.666593,1.166033,18.544938,2.388407,4.856764,2.302381,0.004887,0.797962,0.093691,54.007929,43.528051,63.05263,53.979707,24.643558,61.301921,22.21,39.180029,38.795081,45.839233,47.445735,41.105813,18.113491,50.0,Stable
