t_h,XMEAS(1),XMEAS(2),XMEAS(3),XMEAS(4),XMEAS(5),XMEAS(6),XMEAS(7),XMEAS(8),XMEAS(9),XMEAS(10),XMEAS(11),XMEAS(12),XMEAS(13),XMEAS(14),XMEAS(15),XMEAS(16),XMEAS(17),XMEAS(18),XMEAS(19),XMEAS(20),XMEAS(21),XMEAS(22),XMV(1),XMV(2),XMV(3),XMV(4),XMV(5),XMV(6),XMV(7),XMV(8),XMV(9),XMV(10),XMV(11),XMV(12),deriv_norm,YY[0],YY[1],YY[2],YY[3],YY[4],YY[5],YY[6],YY[7],YY[8],YY[9],YY[27],YY[28],YY[29],YY[30],YY[31],YY[32],YY[33],YY[34]
0.001000,0.131774,2302.733938,2833.934269,6.206901,27.101453,42.188914,2694.604731,71.509525,120.437076,0.327937,80.342188,49.941941,2623.411409,24.327539,50.011281,3089.182593,23.452217,65.977416,228.651956,341.611669,94.599275,77.296984,63.052630,53.979707,23.388795,61.301921,22.210000,39.020473,38.041941,46.511281,47.445735,41.105813,18.113491,50.000000,2.283949e4,1.067819e1,4.666327e0,7.667657e0,3.965485e-1,2.274094e1,2.944050e0,1.484667e2,1.530270e2,2.698365e0,6.333266e1,1.071089e2,3.080264e1,8.714590e1,2.287298e1,6.186037e1,5.777490e0,1.202007e1,5.608049e0
0.002000,0.186484,2849.415917,3463.647830,7.303563,27.376961,42.485664,2693.487443,72.307824,120.425592,0.324274,80.337471,52.200814,2622.288458,24.948307,49.270888,3085.129689,23.199046,65.996400,229.341955,342.140745,94.595803,77.283386,63.052630,53.979707,22.989645,61.301921,22.210000,38.908744,40.300814,45.770888,47.445735,41.105813,18.113491,50.000000,8.273122e3,1.067213e1,4.664710e0,7.662687e0,3.952846e-1,2.273703e1,2.943732e0,1.484651e2,1.530265e2,2.698205e0,6.331362e1,1.070059e2,3.081125e1,8.703953e1,2.280218e1,6.180904e1,5.778755e0,1.201835e1,5.607495e0
0.003000,0.207794,3151.605574,3885.521601,8.005222,27.778371,41.972492,2691.734543,71.176253,120.431802,0.324916,80.299667,52.531052,2620.574969,25.722356,51.739131,3083.785597,22.908750,66.024909,228.372181,341.849977,94.617044,77.276449,63.052630,53.979707,23.555431,61.301921,22.210000,38.733454,40.631052,48.239131,47.445735,41.105813,18.113491,50.000000,5.276358e3,1.066507e1,4.662559e0,7.657066e0,3.943927e-1,2.273179e1,2.943285e0,1.484617e2,1.530252e2,2.697899e0,6.329141e1,1.069515e2,3.082210e1,8.697925e1,2.275899e1,6.178576e1,5.780604e0,1.201908e1,5.607997e0
0.004000,0.221988,3329.835813,4063.611930,8.307205,27.384232,41.483924,2691.117368,72.402346,120.413801,0.326339,80.297307,49.837108,2619.616860,26.349514,49.313179,3083.046557,23.468197,66.050427,231.009055,341.994785,94.593150,77.289729,63.052630,53.979707,22.942384,61.301921,22.210000,38.671737,37.937108,45.813179,47.445735,41.105813,18.113491,50.000000,3.365109e3,1.065938e1,4.660591e0,7.652709e0,3.942001e-1,2.272686e1,2.942848e0,1.484571e2,1.530233e2,2.697507e0,6.327213e1,1.069227e2,3.083173e1,8.694488e1,2.273288e1,6.177730e1,5.782461e0,1.202049e1,5.608754e0
0.005000,0.226726,3456.938016,4252.270347,8.824951,27.146237,42.219326,2689.748365,71.408778,120.406814,0.322267,80.254682,51.973357,2618.385425,25.617437,49.316814,3082.454489,22.961603,66.042794,228.438445,341.605480,94.607560,77.311664,63.052630,53.979707,23.439169,61.301921,22.210000,38.534836,40.073357,45.816814,47.445735,41.105813,18.113491,50.000000,2.146169e3,1.065564e1,4.659072e0,7.649996e0,3.945435e-1,2.272289e1,2.942478e0,1.484520e2,1.530211e2,2.697080e0,6.325708e1,1.069075e2,3.083922e1,8.692546e1,2.271737e1,6.177481e1,5.783885e0,1.202189e1,5.609461e0
0.006000,0.232446,3555.383406,4336.175584,8.999758,27.162219,42.246188,2688.899397,71.117752,120.395423,0.325477,80.264574,48.786524,2617.847075,26.136682,51.100693,3081.751021,22.815060,66.041629,226.797733,341.875828,94.593710,77.320691,63.052630,53.979707,23.584682,61.301921,22.210000,38.449940,36.886524,47.600693,47.445735,41.105813,18.113491,50.000000,1.368765e3,1.065367e1,4.658045e0,7.648750e0,3.951919e-1,2.271999e1,2.942189e0,1.484469e2,1.530186e2,2.696648e0,6.324581e1,1.068999e2,3.084472e1,8.691499e1,2.270850e1,6.177528e1,5.784935e0,1.202307e1,5.610039e0
0.007000,0.236283,3566.484709,4408.735178,9.106734,26.893122,41.739289,2689.236750,71.451337,120.373807,0.324187,80.259020,50.116164,2617.393690,25.051235,49.002093,3082.010111,23.128208,66.046475,231.074801,341.370689,94.605038,77.285248,63.052630,53.979707,23.417889,61.301921,22.210000,38.483675,38.216164,45.502093,47.445735,41.105813,18.113491,50.000000,1.323415e3,1.065308e1,4.657425e0,7.648605e0,3.959689e-1,2.271806e1,2.941973e0,1.484419e2,1.530160e2,2.696226e0,6.323764e1,1.068967e2,3.084857e1,8.690996e1,2.270379e1,6.177633e1,5.785583e0,1.202398e1,5.610477e0
0.008000,0.236845,3605.713629,4424.168216,9.110138,27.215584,42.346000,2688.678615,71.831344,120.355658,0.321985,80.260623,50.812607,2616.794259,25.276500,51.353522,3081.901020,22.664349,66.066004,229.013379,341.267764,94.594983,77.303772,63.052630,53.979707,23.227886,61.301921,22.210000,38.427861,38.912607,47.853522,47.445735,41.105813,18.113491,50.000000,7.182703e2,1.065351e1,4.657143e0,7.649277e0,3.967692e-1,2.271695e1,2.941819e0,1.484372e2,1.530133e2,2.695821e0,6.323164e1,1.068961e2,3.085124e1,8.690837e1,2.270171e1,6.177711e1,5.785893e0,1.202468e1,5.610806e0
0.009000,0.236795,3622.816634,4486.109206,9.266956,27.380289,42.355420,2687.890361,72.179650,120.344589,0.322929,80.251827,48.708600,2616.362091,25.508660,47.518343,3081.981297,23.407280,66.029628,227.902245,341.721330,94.576980,77.284701,63.052630,53.979707,23.053732,61.301921,22.210000,38.349036,36.808600,44.018343,47.445735,41.105813,18.113491,50.000000,8.528340e2,1.065463e1,4.657090e0,7.650481e0,3.975377e-1,2.271648e1,2.941710e0,1.484327e2,1.530105e2,2.695435e0,6.322731e1,1.068969e2,3.085303e1,8.690895e1,2.270130e1,6.177861e1,5.786109e0,1.202522e1,5.611053e0
0.010000,0.236041,3637.164345,4497.268739,9.229292,26.855331,42.155327,2687.835596,71.918076,120.344057,0.325061,80.245504,50.651593,2617.370139,24.760203,50.832640,3081.574283,22.349612,66.045840,226.986323,341.700641,94.594468,77.306472,63.052630,53.979707,23.184520,61.301921,22.210000,38.343560,38.751593,47.332640,47.445735,41.105813,18.113491,50.000000,1.546540e3,1.065619e1,4.657194e0,7.652040e0,3.982542e-1,2.271651e1,2.941634e0,1.484284e2,1.530077e2,2.695067e0,6.322425e1,1.068985e2,3.085419e1,8.691086e1,2.270194e1,6.177960e1,5.786139e0,1.202562e1,5.611235e0
