t_h,XMEAS(1),XMEAS(2),XMEAS(3),XMEAS(4),XMEAS(5),XMEAS(6),XMEAS(7),XMEAS(8),XMEAS(9),XMEAS(10),XMEAS(11),XMEAS(12),XMEAS(13),XMEAS(14),XMEAS(15),XMEAS(16),XMEAS(17),XMEAS(18),XMEAS(19),XMEAS(20),XMEAS(21),XMEAS(22),XMV(1),XMV(2),XMV(3),XMV(4),XMV(5),XMV(6),XMV(7),XMV(8),XMV(9),XMV(10),XMV(11),XMV(12),deriv_norm
0.001000,0.131774,2302.733938,2833.934269,6.206901,27.139101,42.250911,2704.471046,74.998909,120.399669,0.337092,80.100222,49.993904,2633.065701,25.159387,49.992920,3100.067125,22.946091,65.746487,230.203931,341.632654,94.599275,77.296984,0.031526,0.026990,0.012322,0.030651,22.210000,40.007105,38.093904,46.492920,47.445735,41.105813,18.113491,50.000000,2.283949e4
0.002000,0.073843,1488.791622,1789.151375,4.164292,27.649573,42.459254,2702.829159,75.796065,120.388147,0.333368,80.086630,52.239620,2631.282281,25.334847,49.266353,3093.870769,22.960061,65.782265,230.781068,342.326060,94.595803,77.283386,0.063053,0.053980,0.024644,0.061302,22.210000,39.842916,40.339620,45.766353,47.445735,41.105813,18.113491,50.000000,1.455494e4
0.003000,0.040811,957.962195,1185.843170,2.822750,28.845911,41.672171,2699.759374,74.660431,120.390337,0.333692,80.028813,52.554533,2628.127073,25.919065,51.727650,3086.205250,22.777463,65.858782,229.488657,342.561290,94.617044,77.276449,0.094579,0.080970,0.036965,0.091953,22.210000,39.535937,40.654533,48.227650,47.445735,41.105813,18.113491,50.000000,9.271303e3
0.004000,0.022385,605.580551,710.918762,1.756511,29.187550,40.904901,2696.225773,75.876923,120.361422,0.334266,79.981530,49.831564,2623.952235,26.445148,49.288544,3077.506674,23.379976,65.953788,231.658525,343.166517,94.593150,77.289729,0.126105,0.107959,0.049287,0.122604,22.210000,39.182577,37.931564,45.788544,47.445735,41.105813,18.113491,50.000000,6.066425e3
0.005000,0.012346,394.937444,483.919949,1.358542,29.550620,41.389956,2690.553581,74.867300,120.333083,0.328346,79.873503,51.927785,2618.048350,25.650296,49.278978,3068.123132,22.884933,66.031941,228.511387,343.146396,94.607560,77.311664,0.157632,0.134949,0.061609,0.153255,22.210000,38.615358,40.027785,45.778978,47.445735,41.105813,18.113491,50.000000,4.056829e3
0.006000,0.007465,278.642248,303.547714,0.920994,30.030587,41.201759,2684.329905,74.553621,120.288080,0.328618,79.802779,48.693207,2611.751462,26.120351,51.053393,3058.223090,22.733663,66.129448,226.207536,343.702087,94.593710,77.320691,0.189158,0.161939,0.073931,0.183906,22.210000,37.992991,36.793207,47.553393,47.445735,41.105813,18.113491,50.000000,2.709596e3
0.007000,0.004951,153.451823,208.375469,0.618988,30.114499,40.511049,2678.521657,74.858188,120.219912,0.323402,79.706109,49.970328,2604.783502,24.991499,48.952136,3049.094524,23.033671,66.244074,229.746819,343.420698,94.605038,77.285248,0.220684,0.188929,0.086252,0.214557,22.210000,37.412166,38.070328,45.452136,47.445735,41.105813,18.113491,50.000000,1.806410e3
0.008000,0.002918,106.421430,117.650682,0.349751,30.701664,40.960102,2671.286601,75.203175,120.142273,0.316465,79.609640,50.611609,2597.160192,25.172763,51.307425,3039.547184,22.557516,66.381717,226.891604,343.488450,94.594983,77.303772,0.252211,0.215919,0.098574,0.245208,22.210000,36.688660,38.711609,47.807425,47.445735,41.105813,18.113491,50.000000,1.200915e3
0.009000,0.002375,69.174349,112.703974,0.325330,31.069606,40.831255,2663.475220,75.510859,120.059103,0.312063,79.498500,48.451404,2589.383945,25.359902,47.484932,3030.191071,23.285810,66.471688,224.931333,344.078812,94.576980,77.284701,0.283737,0.242909,0.110896,0.275859,22.210000,35.907522,36.551404,43.984932,47.445735,41.105813,18.113491,50.000000,8.551630e2
0.010000,0.002201,49.522756,82.021161,0.167705,30.702173,40.507989,2656.185189,75.203430,119.974335,0.308409,79.387426,50.338223,2582.860891,24.567691,50.818909,3020.404898,22.222172,66.620028,223.127434,344.167148,94.594468,77.306472,0.315263,0.269899,0.123218,0.306510,22.210000,35.178519,38.438223,47.318909,47.445735,41.105813,18.113491,50.000000,1.538911e3
0.011000,-0.000973,39.950382,49.375898,0.105517,30.879457,40.375656,2648.972570,74.203010,119.871873,0.299008,79.280782,49.118203,2575.071981,25.054922,48.655473,3011.961833,22.739154,66.763055,224.189457,344.326513,94.610885,77.307523,0.346789,0.296888,0.135540,0.337161,22.210000,34.457257,37.218203,45.155473,47.445735,41.105813,18.113491,50.000000,9.550849e2
0.012000,0.000366,52.644800,62.638727,0.021872,31.271248,40.608762,2641.708617,74.431788,119.725675,0.292126,79.172510,50.629490,2566.745755,24.614851,49.333692,3003.036144,22.505632,66.909072,221.613618,344.125928,94.599667,77.296292,0.378316,0.323878,0.147861,0.367812,22.210000,33.730862,38.729490,45.833692,47.445735,41.105813,18.113491,50.000000,7.211700e2
0.013000,0.002974,46.880243,39.017523,0.102868,31.154580,40.123906,2633.913191,74.811822,119.609580,0.287470,79.066524,48.718676,2559.235074,25.048069,49.202755,2994.188312,22.472724,67.014516,220.408676,344.137185,94.604252,77.291215,0.409842,0.350868,0.160183,0.398462,22.210000,32.951319,36.818676,45.702755,47.445735,41.105813,18.113491,50.000000,7.238444e2
0.014000,0.002434,72.623984,50.573074,0.186613,31.398827,40.146387,2626.931806,74.765260,119.477484,0.279445,78.966455,50.228109,2552.055423,24.508418,48.601065,2985.681252,22.184697,67.157086,222.124907,344.329489,94.618078,77.290730,0.441368,0.377858,0.172505,0.429113,22.210000,32.253181,38.328109,45.101065,47.445735,41.105813,18.113491,50.000000,7.523513e2
0.015000,0.000342,54.285298,15.910134,0.062556,31.679031,40.013444,2620.266921,74.714128,119.323183,0.271712,78.865962,49.005318,2544.143100,25.062113,51.867626,2976.569184,22.297416,67.323528,219.118991,344.474106,94.604582,77.283275,0.472895,0.404848,0.184827,0.459764,22.210000,31.586692,37.105318,48.367626,47.445735,41.105813,18.113491,50.000000,7.246046e2
